x,y,luminosity,error,T,v
574.81,851.94,327.608,3.16651,16.0,7.0
502.15,811.53,133.848,3.16844,16.0,7.0
1141.22,646.88,19.5841,2.59117,16.0,7.0
369.73,506.07,69.8185,3.11393,16.0,7.0
1405.28,475.68,35.8135,2.9858,16.0,7.0
298.03,457.88,20.3884,2.79742,16.0,7.0
1330.59,313.09,17.5343,2.85254,16.0,7.0
1498.72,262.79,14.3899,2.79574,16.0,7.0
1076.92,182.71,77.5562,3.56146,16.0,7.0
1811.47,172.1,35.1088,3.06177,16.0,7.0
681.68,69.42,42.0479,2.99051,16.0,7.0
845.61,69.6,6.44531,3.20247,16.0,7.0
