spot,x,y,luminosity,error,T,v,v_fin,integration_radius
0,2.02,737.91,3.47304,1.9848,20,52.3,1.0,8.0
0,2.02,737.91,3.53241,2.38569,20,52.3,1.0,10.0
0,2.02,737.91,2.82822,2.83796,20,52.3,1.0,12.0
0,2.02,737.91,1.89008,3.30975,20,52.3,1.0,14.0
0,2.02,737.91,2.933,3.84097,20,52.3,1.0,16.0
0,2.02,737.91,2.57057,4.20678,20,52.3,1.0,18.0
0,2.02,737.91,4.05227,4.87685,20,52.3,1.0,20.0
0,2.02,737.91,3.73442,5.4038,20,52.3,1.0,22.0
0,2.02,737.91,0.701799,5.90163,20,52.3,1.0,24.0
0,2.02,737.91,0.819746,6.30481,20,52.3,1.0,26.0
0,2.02,737.91,9.21798,2.20226,20,53.3,2.0,8.0
0,2.02,737.91,8.78851,2.63889,20,53.3,2.0,10.0
0,2.02,737.91,7.60005,3.07835,20,53.3,2.0,12.0
0,2.02,737.91,5.36189,3.57451,20,53.3,2.0,14.0
0,2.02,737.91,5.29318,4.19582,20,53.3,2.0,16.0
0,2.02,737.91,6.03,4.54486,20,53.3,2.0,18.0
0,2.02,737.91,6.65563,5.20269,20,53.3,2.0,20.0
0,2.02,737.91,7.14244,5.82768,20,53.3,2.0,22.0
0,2.02,737.91,10.7918,6.33385,20,53.3,2.0,24.0
0,2.02,737.91,11.0009,6.7897,20,53.3,2.0,26.0
0,2.02,737.91,19.836,2.39866,20,54.3,3.0,8.0
0,2.02,737.91,20.0977,2.86623,20,54.3,3.0,10.0
0,2.02,737.91,20.1275,3.34026,20,54.3,3.0,12.0
0,2.02,737.91,21.3988,3.88805,20,54.3,3.0,14.0
0,2.02,737.91,23.3396,4.51699,20,54.3,3.0,16.0
0,2.02,737.91,24.6973,4.93156,20,54.3,3.0,18.0
0,2.02,737.91,23.441,5.73316,20,54.3,3.0,20.0
0,2.02,737.91,21.8098,6.37534,20,54.3,3.0,22.0
0,2.02,737.91,21.1175,6.98807,20,54.3,3.0,24.0
0,2.02,737.91,22.1001,7.45197,20,54.3,3.0,26.0
0,2.02,737.91,30.6058,2.37963,20,55.3,4.0,8.0
0,2.02,737.91,31.7362,2.83325,20,55.3,4.0,10.0
0,2.02,737.91,32.6589,3.38317,20,55.3,4.0,12.0
0,2.02,737.91,34.4179,4.00114,20,55.3,4.0,14.0
0,2.02,737.91,33.4574,4.66001,20,55.3,4.0,16.0
0,2.02,737.91,33.0512,5.07753,20,55.3,4.0,18.0
0,2.02,737.91,34.2714,5.85239,20,55.3,4.0,20.0
0,2.02,737.91,35.6204,6.5107,20,55.3,4.0,22.0
0,2.02,737.91,35.5323,7.11836,20,55.3,4.0,24.0
0,2.02,737.91,34.5197,7.62163,20,55.3,4.0,26.0
0,2.02,737.91,53.1398,2.58737,20,56.3,5.0,8.0
0,2.02,737.91,54.1134,3.14543,20,56.3,5.0,10.0
0,2.02,737.91,55.3625,3.67272,20,56.3,5.0,12.0
0,2.02,737.91,55.039,4.38059,20,56.3,5.0,14.0
0,2.02,737.91,55.859,5.13305,20,56.3,5.0,16.0
0,2.02,737.91,55.373,5.63861,20,56.3,5.0,18.0
0,2.02,737.91,51.266,6.46121,20,56.3,5.0,20.0
0,2.02,737.91,48.879,7.14465,20,56.3,5.0,22.0
0,2.02,737.91,47.2778,7.82453,20,56.3,5.0,24.0
0,2.02,737.91,44.5393,8.37825,20,56.3,5.0,26.0
0,2.02,737.91,97.6719,3.22658,20,58.3,7.0,8.0
0,2.02,737.91,100.527,3.81684,20,58.3,7.0,10.0
0,2.02,737.91,103.937,4.41953,20,58.3,7.0,12.0
0,2.02,737.91,105.451,5.05955,20,58.3,7.0,14.0
0,2.02,737.91,107.837,5.94095,20,58.3,7.0,16.0
0,2.02,737.91,107.272,6.47439,20,58.3,7.0,18.0
0,2.02,737.91,108.845,7.42117,20,58.3,7.0,20.0
0,2.02,737.91,104.987,8.27853,20,58.3,7.0,22.0
0,2.02,737.91,104.646,9.0137,20,58.3,7.0,24.0
0,2.02,737.91,104.984,9.72887,20,58.3,7.0,26.0
1,68.9,813.55,41.3984,2.63497,20,52.3,1.0,8.0
1,68.9,813.55,42.4053,3.22638,20,52.3,1.0,10.0
1,68.9,813.55,41.6702,4.10218,20,52.3,1.0,12.0
1,68.9,813.55,41.8719,4.87091,20,52.3,1.0,14.0
1,68.9,813.55,43.1718,5.42924,20,52.3,1.0,16.0
1,68.9,813.55,44.2486,6.11189,20,52.3,1.0,18.0
1,68.9,813.55,45.1311,7.66573,20,52.3,1.0,20.0
1,68.9,813.55,43.5208,8.2117,20,52.3,1.0,22.0
1,68.9,813.55,44.7191,8.91627,20,52.3,1.0,24.0
1,68.9,813.55,45.1966,10.0951,20,52.3,1.0,26.0
1,68.9,813.55,132.618,2.78067,20,53.3,2.0,8.0
1,68.9,813.55,137.565,3.44111,20,53.3,2.0,10.0
1,68.9,813.55,137.552,4.31706,20,53.3,2.0,12.0
1,68.9,813.55,138.423,5.20756,20,53.3,2.0,14.0
1,68.9,813.55,135.734,5.79624,20,53.3,2.0,16.0
1,68.9,813.55,134.007,6.46927,20,53.3,2.0,18.0
1,68.9,813.55,132.875,8.21802,20,53.3,2.0,20.0
1,68.9,813.55,133.974,8.73904,20,53.3,2.0,22.0
1,68.9,813.55,132.812,9.50549,20,53.3,2.0,24.0
1,68.9,813.55,133.246,11.2463,20,53.3,2.0,26.0
1,68.9,813.55,244.344,3.17228,20,54.3,3.0,8.0
1,68.9,813.55,256.358,3.8259,20,54.3,3.0,10.0
1,68.9,813.55,260.428,4.7254,20,54.3,3.0,12.0
1,68.9,813.55,265.931,5.58414,20,54.3,3.0,14.0
1,68.9,813.55,267.689,6.22613,20,54.3,3.0,16.0
1,68.9,813.55,271.081,6.96283,20,54.3,3.0,18.0
1,68.9,813.55,273.308,8.96105,20,54.3,3.0,20.0
1,68.9,813.55,276.556,9.55787,20,54.3,3.0,22.0
1,68.9,813.55,279.092,10.2803,20,54.3,3.0,24.0
1,68.9,813.55,280.318,11.5667,20,54.3,3.0,26.0
1,68.9,813.55,393.649,3.53867,20,55.3,4.0,8.0
1,68.9,813.55,415.077,4.21817,20,55.3,4.0,10.0
1,68.9,813.55,423.049,5.19236,20,55.3,4.0,12.0
1,68.9,813.55,428.05,6.03461,20,55.3,4.0,14.0
1,68.9,813.55,431.047,6.62638,20,55.3,4.0,16.0
1,68.9,813.55,431.722,7.34954,20,55.3,4.0,18.0
1,68.9,813.55,430.4,9.4979,20,55.3,4.0,20.0
1,68.9,813.55,430.105,10.1143,20,55.3,4.0,22.0
1,68.9,813.55,428.323,11.0026,20,55.3,4.0,24.0
1,68.9,813.55,424.481,12.3213,20,55.3,4.0,26.0
1,68.9,813.55,576.829,4.01429,20,56.3,5.0,8.0
1,68.9,813.55,612.573,4.68365,20,56.3,5.0,10.0
1,68.9,813.55,628.788,5.74226,20,56.3,5.0,12.0
1,68.9,813.55,637.97,6.61728,20,56.3,5.0,14.0
1,68.9,813.55,643.181,7.3415,20,56.3,5.0,16.0
1,68.9,813.55,648.503,8.10476,20,56.3,5.0,18.0
1,68.9,813.55,648.045,9.71023,20,56.3,5.0,20.0
1,68.9,813.55,648.044,10.4451,20,56.3,5.0,22.0
1,68.9,813.55,648.838,11.463,20,56.3,5.0,24.0
1,68.9,813.55,646.429,13.4918,20,56.3,5.0,26.0
1,68.9,813.55,2113.32,31.3458,20,58.3,7.0,8.0
1,68.9,813.55,2269.9,31.615,20,58.3,7.0,10.0
1,68.9,813.55,2357.96,31.8756,20,58.3,7.0,12.0
1,68.9,813.55,2415.25,32.1389,20,58.3,7.0,14.0
1,68.9,813.55,2454.73,32.344,20,58.3,7.0,16.0
1,68.9,813.55,2494.52,32.5777,20,58.3,7.0,18.0
1,68.9,813.55,2521.9,33.5815,20,58.3,7.0,20.0
1,68.9,813.55,2544.87,33.8575,20,58.3,7.0,22.0
1,68.9,813.55,2555.84,34.2722,20,58.3,7.0,24.0
1,68.9,813.55,2568.0,35.6705,20,58.3,7.0,26.0
2,78.5,100.41,5.9364,2.60996,20,52.3,1.0,8.0
2,78.5,100.41,4.37318,3.59397,20,52.3,1.0,10.0
2,78.5,100.41,3.70659,4.11383,20,52.3,1.0,12.0
2,78.5,100.41,2.79037,4.78359,20,52.3,1.0,14.0
2,78.5,100.41,3.63875,5.3509,20,52.3,1.0,16.0
2,78.5,100.41,-0.363935,6.06607,20,52.3,1.0,18.0
2,78.5,100.41,-2.48753,6.58172,20,52.3,1.0,20.0
2,78.5,100.41,-6.51101,7.24946,20,52.3,1.0,22.0
2,78.5,100.41,-11.7537,7.94299,20,52.3,1.0,24.0
2,78.5,100.41,-13.9582,8.65765,20,52.3,1.0,26.0
2,78.5,100.41,13.4447,2.7305,20,53.3,2.0,8.0
2,78.5,100.41,14.6759,3.71877,20,53.3,2.0,10.0
2,78.5,100.41,16.9367,4.21226,20,53.3,2.0,12.0
2,78.5,100.41,12.8878,4.98052,20,53.3,2.0,14.0
2,78.5,100.41,9.45747,5.5878,20,53.3,2.0,16.0
2,78.5,100.41,7.26841,6.33377,20,53.3,2.0,18.0
2,78.5,100.41,7.06515,6.8676,20,53.3,2.0,20.0
2,78.5,100.41,6.14677,7.67447,20,53.3,2.0,22.0
2,78.5,100.41,4.72908,8.46211,20,53.3,2.0,24.0
2,78.5,100.41,5.29525,9.22585,20,53.3,2.0,26.0
2,78.5,100.41,29.8816,3.16837,20,54.3,3.0,8.0
2,78.5,100.41,28.5578,4.15492,20,54.3,3.0,10.0
2,78.5,100.41,26.5945,4.7212,20,54.3,3.0,12.0
2,78.5,100.41,25.6788,5.77588,20,54.3,3.0,14.0
2,78.5,100.41,25.8478,6.38196,20,54.3,3.0,16.0
2,78.5,100.41,22.8104,7.08126,20,54.3,3.0,18.0
2,78.5,100.41,21.5501,7.68498,20,54.3,3.0,20.0
2,78.5,100.41,17.6927,8.44333,20,54.3,3.0,22.0
2,78.5,100.41,8.67365,9.33518,20,54.3,3.0,24.0
2,78.5,100.41,6.16893,10.1148,20,54.3,3.0,26.0
2,78.5,100.41,51.0377,3.2003,20,55.3,4.0,8.0
2,78.5,100.41,54.3356,4.19922,20,55.3,4.0,10.0
2,78.5,100.41,53.9721,4.82231,20,55.3,4.0,12.0
2,78.5,100.41,54.097,5.80231,20,55.3,4.0,14.0
2,78.5,100.41,50.741,6.50906,20,55.3,4.0,16.0
2,78.5,100.41,45.8555,7.31661,20,55.3,4.0,18.0
2,78.5,100.41,46.3334,7.90854,20,55.3,4.0,20.0
2,78.5,100.41,44.8933,8.70878,20,55.3,4.0,22.0
2,78.5,100.41,42.9266,9.61949,20,55.3,4.0,24.0
2,78.5,100.41,39.9626,10.492,20,55.3,4.0,26.0
2,78.5,100.41,84.5843,3.62862,20,56.3,5.0,8.0
2,78.5,100.41,89.1635,4.70951,20,56.3,5.0,10.0
2,78.5,100.41,88.9059,5.45018,20,56.3,5.0,12.0
2,78.5,100.41,86.4094,6.5542,20,56.3,5.0,14.0
2,78.5,100.41,86.6148,7.28788,20,56.3,5.0,16.0
2,78.5,100.41,85.2643,8.20614,20,56.3,5.0,18.0
2,78.5,100.41,85.9979,8.87125,20,56.3,5.0,20.0
2,78.5,100.41,84.7277,9.70394,20,56.3,5.0,22.0
2,78.5,100.41,81.1404,10.7352,20,56.3,5.0,24.0
2,78.5,100.41,80.195,11.6045,20,56.3,5.0,26.0
2,78.5,100.41,176.658,4.35706,20,58.3,7.0,8.0
2,78.5,100.41,189.232,5.51582,20,58.3,7.0,10.0
2,78.5,100.41,191.806,6.21006,20,58.3,7.0,12.0
2,78.5,100.41,193.236,7.38663,20,58.3,7.0,14.0
2,78.5,100.41,192.205,8.27076,20,58.3,7.0,16.0
2,78.5,100.41,189.976,9.40691,20,58.3,7.0,18.0
2,78.5,100.41,186.23,10.1705,20,58.3,7.0,20.0
2,78.5,100.41,186.478,11.2221,20,58.3,7.0,22.0
2,78.5,100.41,180.184,12.3758,20,58.3,7.0,24.0
2,78.5,100.41,171.326,13.4546,20,58.3,7.0,26.0
3,93.75,359.08,-0.907036,2.41948,20,52.3,1.0,8.0
3,93.75,359.08,-1.37646,5.21154,20,52.3,1.0,10.0
3,93.75,359.08,0.915883,5.53928,20,52.3,1.0,12.0
3,93.75,359.08,3.59188,6.06256,20,52.3,1.0,14.0
3,93.75,359.08,0.458026,6.58612,20,52.3,1.0,16.0
3,93.75,359.08,0.978342,7.05009,20,52.3,1.0,18.0
3,93.75,359.08,2.17938,7.53311,20,52.3,1.0,20.0
3,93.75,359.08,-0.302887,7.99279,20,52.3,1.0,22.0
3,93.75,359.08,0.795375,8.61048,20,52.3,1.0,24.0
3,93.75,359.08,2.89831,9.38349,20,52.3,1.0,26.0
3,93.75,359.08,11.2401,2.72698,20,53.3,2.0,8.0
3,93.75,359.08,11.2639,5.44149,20,53.3,2.0,10.0
3,93.75,359.08,10.8493,5.81561,20,53.3,2.0,12.0
3,93.75,359.08,15.2109,6.37089,20,53.3,2.0,14.0
3,93.75,359.08,15.8161,6.9612,20,53.3,2.0,16.0
3,93.75,359.08,15.4862,7.44739,20,53.3,2.0,18.0
3,93.75,359.08,16.9584,7.98206,20,53.3,2.0,20.0
3,93.75,359.08,18.3337,8.49022,20,53.3,2.0,22.0
3,93.75,359.08,23.12,9.18473,20,53.3,2.0,24.0
3,93.75,359.08,25.2229,9.97706,20,53.3,2.0,26.0
3,93.75,359.08,54.5888,2.92924,20,54.3,3.0,8.0
3,93.75,359.08,59.0042,5.77206,20,54.3,3.0,10.0
3,93.75,359.08,58.1671,6.17956,20,54.3,3.0,12.0
3,93.75,359.08,58.3257,6.80864,20,54.3,3.0,14.0
3,93.75,359.08,59.128,7.53648,20,54.3,3.0,16.0
3,93.75,359.08,60.3782,8.1131,20,54.3,3.0,18.0
3,93.75,359.08,60.2568,8.7699,20,54.3,3.0,20.0
3,93.75,359.08,61.7392,9.28254,20,54.3,3.0,22.0
3,93.75,359.08,65.0855,9.99034,20,54.3,3.0,24.0
3,93.75,359.08,65.1298,10.8339,20,54.3,3.0,26.0
3,93.75,359.08,102.756,3.08965,20,55.3,4.0,8.0
3,93.75,359.08,110.604,6.58829,20,55.3,4.0,10.0
3,93.75,359.08,117.501,6.98285,20,55.3,4.0,12.0
3,93.75,359.08,121.711,7.62807,20,55.3,4.0,14.0
3,93.75,359.08,124.054,8.2339,20,55.3,4.0,16.0
3,93.75,359.08,125.424,8.75174,20,55.3,4.0,18.0
3,93.75,359.08,127.4,9.33004,20,55.3,4.0,20.0
3,93.75,359.08,131.199,9.89141,20,55.3,4.0,22.0
3,93.75,359.08,134.569,10.6049,20,55.3,4.0,24.0
3,93.75,359.08,133.257,11.5168,20,55.3,4.0,26.0
3,93.75,359.08,163.872,3.35251,20,56.3,5.0,8.0
3,93.75,359.08,180.798,7.16983,20,56.3,5.0,10.0
3,93.75,359.08,190.58,7.61004,20,56.3,5.0,12.0
3,93.75,359.08,203.287,8.29662,20,56.3,5.0,14.0
3,93.75,359.08,211.033,8.98695,20,56.3,5.0,16.0
3,93.75,359.08,215.697,9.58066,20,56.3,5.0,18.0
3,93.75,359.08,220.751,10.2809,20,56.3,5.0,20.0
3,93.75,359.08,225.276,10.8494,20,56.3,5.0,22.0
3,93.75,359.08,225.658,11.6481,20,56.3,5.0,24.0
3,93.75,359.08,227.546,12.5823,20,56.3,5.0,26.0
3,93.75,359.08,309.157,4.1555,20,58.3,7.0,8.0
3,93.75,359.08,347.436,7.86775,20,58.3,7.0,10.0
3,93.75,359.08,372.474,8.41766,20,58.3,7.0,12.0
3,93.75,359.08,393.758,9.29475,20,58.3,7.0,14.0
3,93.75,359.08,405.635,10.2363,20,58.3,7.0,16.0
3,93.75,359.08,414.426,10.8901,20,58.3,7.0,18.0
3,93.75,359.08,419.773,11.6457,20,58.3,7.0,20.0
3,93.75,359.08,426.719,12.332,20,58.3,7.0,22.0
3,93.75,359.08,430.138,13.385,20,58.3,7.0,24.0
3,93.75,359.08,435.72,14.51,20,58.3,7.0,26.0
4,138.25,261.48,3.13289,2.50293,20,52.3,1.0,8.0
4,138.25,261.48,3.79914,3.13434,20,52.3,1.0,10.0
4,138.25,261.48,4.50947,3.66092,20,52.3,1.0,12.0
4,138.25,261.48,3.81348,4.56002,20,52.3,1.0,14.0
4,138.25,261.48,1.93637,5.13142,20,52.3,1.0,16.0
4,138.25,261.48,0.0759003,5.78643,20,52.3,1.0,18.0
4,138.25,261.48,-3.42256,6.41261,20,52.3,1.0,20.0
4,138.25,261.48,-2.47343,7.08257,20,52.3,1.0,22.0
4,138.25,261.48,-2.70836,7.85147,20,52.3,1.0,24.0
4,138.25,261.48,-4.08742,8.72129,20,52.3,1.0,26.0
4,138.25,261.48,11.8617,2.55702,20,53.3,2.0,8.0
4,138.25,261.48,12.3441,3.28513,20,53.3,2.0,10.0
4,138.25,261.48,12.6933,3.82055,20,53.3,2.0,12.0
4,138.25,261.48,12.1565,5.01285,20,53.3,2.0,14.0
4,138.25,261.48,12.3256,5.59539,20,53.3,2.0,16.0
4,138.25,261.48,15.9799,6.30867,20,53.3,2.0,18.0
4,138.25,261.48,17.0599,7.01259,20,53.3,2.0,20.0
4,138.25,261.48,16.5902,7.66798,20,53.3,2.0,22.0
4,138.25,261.48,17.1716,8.50263,20,53.3,2.0,24.0
4,138.25,261.48,17.7176,9.43534,20,53.3,2.0,26.0
4,138.25,261.48,25.0592,2.76683,20,54.3,3.0,8.0
4,138.25,261.48,26.1541,3.59987,20,54.3,3.0,10.0
4,138.25,261.48,27.9015,4.15987,20,54.3,3.0,12.0
4,138.25,261.48,29.0249,5.42538,20,54.3,3.0,14.0
4,138.25,261.48,28.1015,6.06829,20,54.3,3.0,16.0
4,138.25,261.48,23.3679,6.79367,20,54.3,3.0,18.0
4,138.25,261.48,25.9344,7.52242,20,54.3,3.0,20.0
4,138.25,261.48,24.825,8.33793,20,54.3,3.0,22.0
4,138.25,261.48,25.077,9.26358,20,54.3,3.0,24.0
4,138.25,261.48,24.2267,10.3249,20,54.3,3.0,26.0
4,138.25,261.48,39.1728,2.97466,20,55.3,4.0,8.0
4,138.25,261.48,41.4236,3.82905,20,55.3,4.0,10.0
4,138.25,261.48,43.5644,4.43133,20,55.3,4.0,12.0
4,138.25,261.48,45.3806,5.67452,20,55.3,4.0,14.0
4,138.25,261.48,44.2923,6.41419,20,55.3,4.0,16.0
4,138.25,261.48,45.3291,7.33737,20,55.3,4.0,18.0
4,138.25,261.48,44.5886,8.1235,20,55.3,4.0,20.0
4,138.25,261.48,45.3843,8.79205,20,55.3,4.0,22.0
4,138.25,261.48,49.4004,9.79511,20,55.3,4.0,24.0
4,138.25,261.48,51.5117,10.9457,20,55.3,4.0,26.0
4,138.25,261.48,53.2433,3.24186,20,56.3,5.0,8.0
4,138.25,261.48,57.8412,4.06368,20,56.3,5.0,10.0
4,138.25,261.48,60.5972,4.73905,20,56.3,5.0,12.0
4,138.25,261.48,61.4728,6.14241,20,56.3,5.0,14.0
4,138.25,261.48,57.8577,6.91699,20,56.3,5.0,16.0
4,138.25,261.48,58.7005,7.83239,20,56.3,5.0,18.0
4,138.25,261.48,59.0856,8.65323,20,56.3,5.0,20.0
4,138.25,261.48,58.6783,9.48503,20,56.3,5.0,22.0
4,138.25,261.48,61.9213,10.5439,20,56.3,5.0,24.0
4,138.25,261.48,62.5001,11.7262,20,56.3,5.0,26.0
4,138.25,261.48,92.6872,3.84806,20,58.3,7.0,8.0
4,138.25,261.48,99.9244,4.8246,20,58.3,7.0,10.0
4,138.25,261.48,108.123,5.55841,20,58.3,7.0,12.0
4,138.25,261.48,113.646,7.21079,20,58.3,7.0,14.0
4,138.25,261.48,116.289,8.09292,20,58.3,7.0,16.0
4,138.25,261.48,118.614,9.20358,20,58.3,7.0,18.0
4,138.25,261.48,122.672,10.2705,20,58.3,7.0,20.0
4,138.25,261.48,119.646,11.1899,20,58.3,7.0,22.0
4,138.25,261.48,120.476,12.4149,20,58.3,7.0,24.0
4,138.25,261.48,121.974,13.8589,20,58.3,7.0,26.0
5,180.85,175.76,152.301,2.60948,20,52.3,1.0,8.0
5,180.85,175.76,154.791,3.3036,20,52.3,1.0,10.0
5,180.85,175.76,155.291,3.76419,20,52.3,1.0,12.0
5,180.85,175.76,157.564,4.50739,20,52.3,1.0,14.0
5,180.85,175.76,157.94,5.07353,20,52.3,1.0,16.0
5,180.85,175.76,157.001,5.75949,20,52.3,1.0,18.0
5,180.85,175.76,155.397,6.18491,20,52.3,1.0,20.0
5,180.85,175.76,158.394,6.85266,20,52.3,1.0,22.0
5,180.85,175.76,158.365,8.40751,20,52.3,1.0,24.0
5,180.85,175.76,158.318,9.07527,20,52.3,1.0,26.0
5,180.85,175.76,584.353,3.05508,20,53.3,2.0,8.0
5,180.85,175.76,605.273,3.61647,20,53.3,2.0,10.0
5,180.85,175.76,615.653,4.17606,20,53.3,2.0,12.0
5,180.85,175.76,621.306,4.91836,20,53.3,2.0,14.0
5,180.85,175.76,626.317,5.47111,20,53.3,2.0,16.0
5,180.85,175.76,628.152,6.22087,20,53.3,2.0,18.0
5,180.85,175.76,629.885,6.66451,20,53.3,2.0,20.0
5,180.85,175.76,633.295,7.38532,20,53.3,2.0,22.0
5,180.85,175.76,632.82,9.13574,20,53.3,2.0,24.0
5,180.85,175.76,631.134,9.93725,20,53.3,2.0,26.0
5,180.85,175.76,1381.64,3.38059,20,54.3,3.0,8.0
5,180.85,175.76,1441.63,4.13964,20,54.3,3.0,10.0
5,180.85,175.76,1470.93,4.70521,20,54.3,3.0,12.0
5,180.85,175.76,1491.86,5.5104,20,54.3,3.0,14.0
5,180.85,175.76,1502.62,6.11678,20,54.3,3.0,16.0
5,180.85,175.76,1511.52,6.94582,20,54.3,3.0,18.0
5,180.85,175.76,1520.52,7.39509,20,54.3,3.0,20.0
5,180.85,175.76,1523.2,8.1196,20,54.3,3.0,22.0
5,180.85,175.76,1525.59,10.1872,20,54.3,3.0,24.0
5,180.85,175.76,1526.56,10.944,20,54.3,3.0,26.0
5,180.85,175.76,2586.22,4.23173,20,55.3,4.0,8.0
5,180.85,175.76,2717.88,4.88153,20,55.3,4.0,10.0
5,180.85,175.76,2783.62,5.40299,20,55.3,4.0,12.0
5,180.85,175.76,2824.17,6.25826,20,55.3,4.0,14.0
5,180.85,175.76,2848.25,6.86114,20,55.3,4.0,16.0
5,180.85,175.76,2867.77,7.65503,20,55.3,4.0,18.0
5,180.85,175.76,2884.98,8.0941,20,55.3,4.0,20.0
5,180.85,175.76,2902.55,8.86555,20,55.3,4.0,22.0
5,180.85,175.76,2913.7,10.8283,20,55.3,4.0,24.0
5,180.85,175.76,2926.46,11.5807,20,55.3,4.0,26.0
5,180.85,175.76,4282.5,5.73825,20,56.3,5.0,8.0
5,180.85,175.76,4534.25,6.38181,20,56.3,5.0,10.0
5,180.85,175.76,4664.41,6.9219,20,56.3,5.0,12.0
5,180.85,175.76,4744.2,7.6294,20,56.3,5.0,14.0
5,180.85,175.76,4798.22,8.20864,20,56.3,5.0,16.0
5,180.85,175.76,4838.58,8.98128,20,56.3,5.0,18.0
5,180.85,175.76,4874.8,9.45583,20,56.3,5.0,20.0
5,180.85,175.76,4908.71,10.2189,20,56.3,5.0,22.0
5,180.85,175.76,4933.33,12.3326,20,56.3,5.0,24.0
5,180.85,175.76,4952.49,13.1102,20,56.3,5.0,26.0
5,180.85,175.76,9754.3,10.4093,20,58.3,7.0,8.0
5,180.85,175.76,10593.0,11.2301,20,58.3,7.0,10.0
5,180.85,175.76,11043.6,11.7562,20,58.3,7.0,12.0
5,180.85,175.76,11333.7,12.5359,20,58.3,7.0,14.0
5,180.85,175.76,11533.8,13.0863,20,58.3,7.0,16.0
5,180.85,175.76,11686.1,13.8008,20,58.3,7.0,18.0
5,180.85,175.76,11814.1,14.2532,20,58.3,7.0,20.0
5,180.85,175.76,11926.2,15.0026,20,58.3,7.0,22.0
5,180.85,175.76,12026.1,17.4419,20,58.3,7.0,24.0
5,180.85,175.76,12114.1,18.2189,20,58.3,7.0,26.0
6,193.6,523.67,8.15212,2.77432,20,52.3,1.0,8.0
6,193.6,523.67,6.9526,3.27565,20,52.3,1.0,10.0
6,193.6,523.67,6.45094,3.91389,20,52.3,1.0,12.0
6,193.6,523.67,6.33589,4.47373,20,52.3,1.0,14.0
6,193.6,523.67,6.18316,5.43812,20,52.3,1.0,16.0
6,193.6,523.67,6.23436,6.10586,20,52.3,1.0,18.0
6,193.6,523.67,7.63129,6.61303,20,52.3,1.0,20.0
6,193.6,523.67,8.57139,7.24829,20,52.3,1.0,22.0
6,193.6,523.67,7.22153,7.79535,20,52.3,1.0,24.0
6,193.6,523.67,8.94077,8.40013,20,52.3,1.0,26.0
6,193.6,523.67,39.2355,2.85084,20,53.3,2.0,8.0
6,193.6,523.67,39.2603,3.46376,20,53.3,2.0,10.0
6,193.6,523.67,38.7943,4.1714,20,53.3,2.0,12.0
6,193.6,523.67,36.6397,4.83086,20,53.3,2.0,14.0
6,193.6,523.67,33.6391,5.95225,20,53.3,2.0,16.0
6,193.6,523.67,31.286,6.59845,20,53.3,2.0,18.0
6,193.6,523.67,28.6717,7.17688,20,53.3,2.0,20.0
6,193.6,523.67,25.1517,7.85439,20,53.3,2.0,22.0
6,193.6,523.67,22.7202,8.43437,20,53.3,2.0,24.0
6,193.6,523.67,21.6517,9.07186,20,53.3,2.0,26.0
6,193.6,523.67,89.1651,3.0866,20,54.3,3.0,8.0
6,193.6,523.67,91.4872,3.67293,20,54.3,3.0,10.0
6,193.6,523.67,91.3734,4.44981,20,54.3,3.0,12.0
6,193.6,523.67,92.6685,5.09856,20,54.3,3.0,14.0
6,193.6,523.67,95.725,6.29749,20,54.3,3.0,16.0
6,193.6,523.67,97.7318,7.00041,20,54.3,3.0,18.0
6,193.6,523.67,98.9129,7.60517,20,54.3,3.0,20.0
6,193.6,523.67,101.242,8.34899,20,54.3,3.0,22.0
6,193.6,523.67,99.0575,9.03269,20,54.3,3.0,24.0
6,193.6,523.67,97.0925,9.76473,20,54.3,3.0,26.0
6,193.6,523.67,165.268,3.32834,20,55.3,4.0,8.0
6,193.6,523.67,174.416,3.952,20,55.3,4.0,10.0
6,193.6,523.67,178.406,4.74752,20,55.3,4.0,12.0
6,193.6,523.67,180.992,5.4997,20,55.3,4.0,14.0
6,193.6,523.67,182.493,6.76842,20,55.3,4.0,16.0
6,193.6,523.67,180.915,7.5236,20,55.3,4.0,18.0
6,193.6,523.67,179.224,8.1088,20,55.3,4.0,20.0
6,193.6,523.67,178.593,8.89969,20,55.3,4.0,22.0
6,193.6,523.67,175.204,9.58048,20,55.3,4.0,24.0
6,193.6,523.67,174.384,10.3215,20,55.3,4.0,26.0
6,193.6,523.67,270.971,3.73465,20,56.3,5.0,8.0
6,193.6,523.67,287.436,4.49674,20,56.3,5.0,10.0
6,193.6,523.67,295.521,5.24979,20,56.3,5.0,12.0
6,193.6,523.67,298.355,6.0092,20,56.3,5.0,14.0
6,193.6,523.67,296.573,7.32393,20,56.3,5.0,16.0
6,193.6,523.67,298.33,8.12754,20,56.3,5.0,18.0
6,193.6,523.67,295.501,8.80169,20,56.3,5.0,20.0
6,193.6,523.67,296.78,9.70013,20,56.3,5.0,22.0
6,193.6,523.67,290.844,10.4549,20,56.3,5.0,24.0
6,193.6,523.67,287.423,11.3383,20,56.3,5.0,26.0
6,193.6,523.67,624.746,4.96182,20,58.3,7.0,8.0
6,193.6,523.67,674.403,5.73405,20,58.3,7.0,10.0
6,193.6,523.67,706.537,6.59537,20,58.3,7.0,12.0
6,193.6,523.67,727.103,7.43338,20,58.3,7.0,14.0
6,193.6,523.67,728.881,9.04341,20,58.3,7.0,16.0
